noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,230,23.0,0.06223867130279541
0,30,1000,515,51.5,0.0626285183429718
0,50,1000,712,71.2,0.06121796584129333
0,70,1000,852,85.2,0.06234710240364075
0,100,846,779,92.08037825059102,0.06152366859129416
10,10,1000,203,20.3,0.06231870770454407
10,30,1000,463,46.300000000000004,0.06071280026435852
10,50,1000,654,65.4,0.06263986730575562
10,70,1000,803,80.30000000000001,0.06304814529418945
10,100,846,734,86.7612293144208,0.06249911227124803
20,10,1000,197,19.7,0.062036153793334964
20,30,1000,405,40.5,0.06301881551742554
20,50,1000,582,58.199999999999996,0.06075907778739929
20,70,1000,703,70.3,0.06210976505279541
20,100,846,687,81.20567375886525,0.058181864713664315
30,10,1000,168,16.8,0.05971231627464294
30,30,1000,371,37.1,0.06184374260902405
30,50,1000,501,50.1,0.06360796070098877
30,70,1000,621,62.1,0.06283440542221069
30,100,846,624,73.75886524822694,0.06293341566766689
